26-04-04 16:48:13.028 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.digest.dertyu.DertyuApplicationTests], using SpringBootContextLoader 
26-04-04 16:48:13.046 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.digest.dertyu.DertyuApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
26-04-04 16:48:13.048 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.digest.dertyu.DertyuApplicationTests]: DertyuApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
26-04-04 16:48:13.350 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.digest.dertyu.JournalApplication for test class com.digest.dertyu.DertyuApplicationTests 
26-04-04 16:48:13.679 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
26-04-04 16:48:13.722 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5f7b97da, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@18b0930f, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6b7906b3, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3a1dd365, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@395b56bb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@256f8274, org.springframework.test.context.transaction.TransactionalTestExecutionListener@68044f4, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@52d239ba, org.springframework.test.context.event.EventPublishingTestExecutionListener@315f43d5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@68fa0ba8, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6c5945a7, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2f05be7f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@640f11a1, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5c10f1c3, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7ac2e39b] 
26-04-04 16:48:14.767 [main] INFO  c.d.dertyu.DertyuApplicationTests - Starting DertyuApplicationTests using Java 17.0.10 on LAPTOP-H6MCVL77 with PID 31384 (started by 91828 in C:\javaProject\java-springboot) 
26-04-04 16:48:14.768 [main] INFO  c.d.dertyu.DertyuApplicationTests - The following 1 profile is active: "dev" 
26-04-04 16:48:16.260 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
26-04-04 16:48:16.372 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 94 ms. Found 2 MongoDB repository interfaces. 
26-04-04 16:48:17.472 [cluster-ClusterId{value='69d0f379b93cf52f59315f53', description='null'}-srv-cluster0.oz3xve9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tuqprkh-shard-00-01.oz3xve9.mongodb.net:27017 to client view of cluster 
